Gender,OWN_CAR,OWN_REALTY,CNT_CHILDREN,ANN_INC,INC_CAT,EDU_LVL,STATUS,LIVING,OCCUPATION_TYPE,FAM_CNT,Age,Experience,target
M,N,N,1,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,3,39,18,0
M,N,Y,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,23,1,0
M,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,Accountants,2,47,3,0
F,Y,Y,0,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,52,15,0
M,Y,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,39,11,0
F,N,N,1,162000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,3,41,6,0
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,22,1,0
F,N,N,0,270000.0,Working,Higher education,Single / not married,Rented apartment,Accountants,1,37,5,0
F,N,Y,0,315000.0,Working,Higher education,Married,House / apartment,Accountants,2,37,0,0
F,N,Y,0,315000.0,State servant,Higher education,Married,House / apartment,Accountants,2,36,3,0
F,N,Y,1,72000.0,Working,Higher education,Married,House / apartment,Accountants,3,34,1,0
M,N,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,48,3,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,1,0
F,N,Y,0,180000.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,25,4,0
M,Y,N,2,225000.0,State servant,Higher education,Married,With parents,Accountants,4,29,4,0
M,Y,N,1,180000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,3,40,2,0
F,N,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,10,0
F,N,Y,3,157500.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,4,28,2,0
M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,Accountants,3,42,3,0
F,N,Y,1,270000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,3,39,6,0
F,N,Y,1,157500.0,Working,Incomplete higher,Married,House / apartment,Accountants,3,28,0,0
M,Y,Y,1,139500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,39,15,0
M,Y,Y,0,180000.0,State servant,Higher education,Single / not married,House / apartment,Accountants,1,23,2,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,39,12,0
F,N,Y,1,270000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,34,14,0
F,N,Y,1,270000.0,Working,Higher education,Married,House / apartment,Accountants,3,37,7,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,1,37,10,0
F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,29,2,0
F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,44,8,0
M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,28,0,0
F,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,45,6,0
M,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,Accountants,3,34,5,0
M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,2,29,3,0
M,Y,N,0,292500.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,28,0,0
M,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,Accountants,1,25,2,0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,40,7,0
F,Y,N,2,405000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,3,38,5,0
F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2,54,3,0
F,N,N,0,450000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,5,0
M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,Accountants,3,25,3,0
F,Y,N,0,292500.0,State servant,Higher education,Civil marriage,House / apartment,Accountants,2,28,4,0
M,Y,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,36,0,0
F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,Accountants,2,25,0,0
M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,32,6,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,37,2,0
F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,2,45,2,0
F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,Accountants,4,34,3,0
F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,45,8,0
F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,45,8,1
M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,26,0,0
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,Accountants,1,23,1,0
F,N,Y,2,292500.0,Working,Higher education,Married,House / apartment,Accountants,4,33,4,0
M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,Accountants,2,46,5,0
M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,41,6,0
F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,Accountants,3,36,7,0
M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,42,12,0
M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,Accountants,3,24,2,0
M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,Accountants,3,32,10,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,57,4,0
F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,Accountants,1,47,2,0
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,41,12,0
M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,1,26,6,0
F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,2,41,9,0
F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,30,1,0
M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,3,32,9,0
F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,46,0,0
F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,30,3,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,50,0,0
F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,Accountants,2,48,23,0
F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,35,6,0
F,N,Y,0,270000.0,State servant,Higher education,Separated,House / apartment,Accountants,1,53,3,0
F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,Accountants,4,38,15,0
F,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,51,3,0
F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,4,37,10,0
M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,34,5,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,55,8,0
M,N,Y,1,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,42,4,0
M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,Accountants,1,48,11,0
F,N,Y,0,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,44,2,0
M,Y,N,0,180000.0,Working,Higher education,Married,With parents,Accountants,2,30,5,0
F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,52,7,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,39,6,0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,54,4,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,55,0,0
F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,31,8,0
F,N,Y,2,115200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,40,1,0
M,Y,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,47,1,0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,33,7,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,28,7,0
F,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,Accountants,3,52,9,0
M,Y,N,2,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,36,3,0
F,Y,Y,1,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,2,29,3,0
M,Y,Y,1,58500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,37,7,0
F,N,N,1,99000.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,Accountants,3,44,8,0
F,Y,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,30,5,0
F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,46,3,0
F,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,Accountants,2,28,2,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,32,2,0
M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,59,4,0
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,42,6,0
F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,36,6,0
F,N,N,1,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,27,2,0
M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,44,7,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,With parents,Accountants,2,39,0,0
F,N,N,0,139500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,41,3,0
F,N,Y,0,120150.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,60,2,0
F,N,N,0,180000.0,Working,Incomplete higher,Married,House / apartment,Accountants,2,53,5,0
M,Y,Y,0,382500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,59,3,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,29,1,0
F,N,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,38,13,0
M,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,Accountants,2,45,1,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,With parents,Accountants,2,44,0,0
M,Y,N,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,33,1,0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,41,14,0
F,N,Y,0,216000.0,State servant,Higher education,Married,House / apartment,Accountants,2,54,12,0
M,Y,Y,0,292500.0,Commercial associate,Secondary / secondary special,Married,With parents,Accountants,2,27,0,0
F,N,Y,1,67500.0,Working,Higher education,Married,House / apartment,Accountants,3,30,2,0
M,Y,N,3,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,5,43,2,0
F,Y,N,2,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Accountants,3,29,4,0
M,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,23,2,0
F,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,40,2,0
F,N,Y,0,256500.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,53,2,0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,36,1,0
F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,41,3,0
F,Y,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,10,0
M,Y,Y,1,373500.0,State servant,Higher education,Married,Office apartment,Accountants,3,35,3,0
F,N,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,41,2,0
F,N,Y,0,90000.0,Working,Higher education,Separated,House / apartment,Accountants,1,49,1,0
M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,Accountants,2,47,13,0
F,Y,Y,0,256500.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,38,7,0
M,N,N,1,337500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,48,6,0
F,N,Y,3,202500.0,State servant,Higher education,Married,House / apartment,Accountants,5,35,3,0
F,N,Y,1,247500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,30,1,0
F,Y,N,1,162000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,2,40,12,0
F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,51,11,0
F,N,N,1,180000.0,State servant,Higher education,Married,House / apartment,Accountants,3,38,6,0
M,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,Accountants,2,24,1,0
F,N,Y,0,99000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,52,13,0
F,N,Y,3,103500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,5,42,8,0
M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,Accountants,2,59,12,0
F,N,N,0,202500.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,25,0,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,37,13,0
F,N,Y,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,9,0
F,N,N,0,85500.0,Working,Higher education,Married,House / apartment,Accountants,2,39,3,0
F,N,Y,1,112500.0,State servant,Incomplete higher,Married,House / apartment,Accountants,3,39,12,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,23,1,0
F,N,Y,2,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,27,4,0
M,N,Y,2,135000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,35,1,0
F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,43,0,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,39,0,0
F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Accountants,1,54,10,0
F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,40,0,0
F,Y,Y,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,32,0,0
F,N,Y,1,112500.0,Student,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,33,2,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,46,1,0
F,Y,N,0,103500.0,Working,Higher education,Married,House / apartment,Accountants,2,39,7,0
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,28,0,0
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,28,0,1
M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,59,2,0
F,N,Y,2,405000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,4,50,11,0
F,Y,Y,1,76500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,39,7,0
M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,37,10,0
M,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Accountants,1,51,4,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,50,2,0
F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,4,31,12,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,54,6,0
F,N,Y,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,35,0,0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,5,0
M,Y,N,0,292500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,38,4,0
M,Y,Y,1,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,Accountants,3,45,7,0
F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,3,37,0,0
M,N,N,0,146250.0,Working,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,25,1,0
M,N,Y,0,144000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,46,5,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,33,1,0
M,Y,Y,1,157500.0,Working,Higher education,Married,House / apartment,Accountants,3,26,8,0
F,N,N,0,180000.0,Working,Secondary / secondary special,Widow,Municipal apartment,Accountants,1,58,1,0
F,N,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,54,10,0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Widow,House / apartment,Accountants,1,53,1,0
F,N,N,0,162000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,54,18,0
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,38,9,0
M,Y,Y,2,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,4,35,13,0
F,N,Y,0,121500.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,30,0,0
M,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,44,2,0
F,N,Y,0,193500.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,46,13,0
F,N,Y,0,225000.0,Working,Higher education,Widow,House / apartment,Accountants,1,58,36,0
M,Y,Y,3,315000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,5,42,15,0
F,N,Y,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,41,4,0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,40,7,0
F,Y,Y,1,157500.0,Working,Lower secondary,Married,House / apartment,Accountants,3,39,3,0
M,N,N,1,225000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,28,6,0
M,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,Accountants,3,33,3,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,49,10,0
F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,With parents,Accountants,4,27,1,0
F,N,Y,2,121500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,4,29,4,0
M,Y,N,0,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,30,9,0
M,Y,Y,0,247500.0,State servant,Higher education,Single / not married,House / apartment,Accountants,1,27,2,0
M,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,33,2,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,Rented apartment,Accountants,1,25,0,0
F,N,Y,0,130500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Accountants,2,49,9,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,51,27,0
F,Y,Y,0,144000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,33,7,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,36,18,0
F,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,43,2,0
F,Y,N,1,112500.0,Working,Higher education,Single / not married,House / apartment,Accountants,2,27,4,0
F,N,Y,0,270000.0,Working,Higher education,Widow,House / apartment,Accountants,1,52,7,0
F,N,Y,0,85500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,55,29,0
F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,Accountants,1,59,4,0
M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,50,10,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,26,1,0
F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,Accountants,2,53,4,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Widow,House / apartment,Accountants,1,45,19,0
F,Y,Y,0,202500.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,29,10,0
F,N,Y,0,360000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,49,7,0
F,N,Y,0,229500.0,Working,Higher education,Married,House / apartment,Accountants,2,45,3,0
F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,54,23,0
F,N,Y,0,112500.0,State servant,Higher education,Married,Municipal apartment,Accountants,2,61,12,0
M,N,N,0,144000.0,Commercial associate,Incomplete higher,Single / not married,Rented apartment,Accountants,1,28,2,0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,25,0,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,2,0
M,Y,N,2,213750.0,State servant,Higher education,Married,House / apartment,Accountants,4,34,10,0
F,Y,Y,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,32,12,0
F,Y,Y,0,720000.0,State servant,Higher education,Widow,House / apartment,Accountants,1,41,14,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,6,0
F,Y,Y,1,270000.0,Commercial associate,Academic degree,Married,House / apartment,Accountants,3,33,2,0
F,N,N,0,202500.0,State servant,Secondary / secondary special,Widow,House / apartment,Accountants,1,63,1,0
M,Y,Y,1,405000.0,Working,Higher education,Married,House / apartment,Accountants,3,28,5,0
F,N,Y,0,126000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,43,2,1
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,22,0
F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,53,9,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,41,9,0
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,Office apartment,Accountants,2,37,12,0
M,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,37,1,0
F,N,N,0,292500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,51,29,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,14,0
F,N,N,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,34,12,0
F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,53,8,0
F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,34,0
M,N,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,2,0
M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,Accountants,4,45,8,0
M,Y,N,1,675000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,3,47,12,0
F,N,N,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,6,0
F,Y,N,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,34,3,0
F,N,N,0,315000.0,Working,Higher education,Married,House / apartment,Accountants,2,50,16,0
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,50,19,0
F,Y,N,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,37,1,0
M,Y,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,46,25,0
M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,40,1,0
M,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,1,0
M,Y,N,0,119250.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,1,0
M,Y,N,1,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,43,1,0
F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,37,8,0
M,Y,N,0,346500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,24,4,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,2,0
F,N,N,0,191250.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,55,22,0
F,Y,N,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,42,8,0
F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,42,22,0
M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,Accountants,1,31,0,0
M,Y,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,43,0,0
M,Y,N,0,132372.0,Commercial associate,Secondary / secondary special,Married,With parents,Accountants,2,23,1,0
M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Accountants,2,28,3,0
F,N,N,0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,Accountants,1,49,0,0
F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,2,40,6,0
M,Y,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,26,2,0
F,Y,N,0,360000.0,Working,Higher education,Married,House / apartment,Accountants,2,35,6,0
M,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,23,1,0
F,N,N,0,135000.0,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,32,13,0
F,N,N,1,159750.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,3,25,0,0
M,Y,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,54,1,0
F,N,N,1,132750.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,2,25,1,0
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,49,11,0
M,N,N,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,49,3,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Separated,Municipal apartment,Accountants,1,39,0,0
F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,30,5,0
F,N,N,0,91530.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,59,4,0
F,Y,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,2,0
M,N,N,0,180000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,28,5,0
F,N,N,0,315000.0,State servant,Higher education,Married,House / apartment,Accountants,2,58,18,0
F,Y,N,1,135000.0,Working,Higher education,Civil marriage,House / apartment,Accountants,3,35,1,0
M,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,42,7,0
